Date,DO,site
5/14/2025 20:05,10.44,70.2 trestle
5/14/2025 21:05,9.82,70.2 trestle
5/14/2025 22:05,9.56,70.2 trestle
5/14/2025 23:05,9.49,70.2 trestle
5/15/2025 0:05,9.48,70.2 trestle
5/15/2025 1:05,9.48,70.2 trestle
5/15/2025 2:05,9.49,70.2 trestle
5/15/2025 3:05,9.5,70.2 trestle
5/15/2025 4:05,9.51,70.2 trestle
5/15/2025 5:05,9.51,70.2 trestle
5/15/2025 6:05,9.54,70.2 trestle
5/15/2025 7:05,9.9,70.2 trestle
5/15/2025 8:05,10.53,70.2 trestle
5/15/2025 9:05,11.05,70.2 trestle
5/15/2025 10:05,11.08,70.2 trestle
5/15/2025 11:05,11.25,70.2 trestle
5/15/2025 12:05,11.44,70.2 trestle
5/15/2025 13:05,11.68,70.2 trestle
5/15/2025 14:05,11.62,70.2 trestle
5/15/2025 15:05,11.47,70.2 trestle
5/15/2025 16:05,11.36,70.2 trestle
5/15/2025 17:05,11.42,70.2 trestle
5/15/2025 18:05,11.48,70.2 trestle
5/15/2025 19:05,11.19,70.2 trestle
5/15/2025 20:05,10.66,70.2 trestle
5/15/2025 21:05,10.03,70.2 trestle
5/15/2025 22:05,9.66,70.2 trestle
5/15/2025 23:05,9.54,70.2 trestle
5/16/2025 0:05,9.52,70.2 trestle
5/16/2025 1:05,9.51,70.2 trestle
5/16/2025 2:05,9.51,70.2 trestle
5/16/2025 3:05,9.52,70.2 trestle
5/16/2025 4:05,9.52,70.2 trestle
5/16/2025 5:05,9.52,70.2 trestle
5/16/2025 6:05,9.55,70.2 trestle
5/16/2025 7:05,9.81,70.2 trestle
5/16/2025 8:05,10.16,70.2 trestle
5/16/2025 9:05,10.49,70.2 trestle
5/16/2025 10:05,10.97,70.2 trestle
5/14/2025 14:27,10.46,Saysells
5/14/2025 15:27,10.48,Saysells
5/14/2025 16:27,10.51,Saysells
5/14/2025 17:27,10.49,Saysells
5/14/2025 18:27,10.48,Saysells
5/14/2025 19:27,10.44,Saysells
5/14/2025 20:27,10.36,Saysells
5/14/2025 21:27,10.3,Saysells
5/14/2025 22:27,10.27,Saysells
5/14/2025 23:27,10.25,Saysells
5/15/2025 0:27,10.22,Saysells
5/15/2025 1:27,10.21,Saysells
5/15/2025 2:27,10.18,Saysells
5/15/2025 3:27,10.15,Saysells
5/15/2025 4:27,10.12,Saysells
5/15/2025 5:27,10.1,Saysells
5/15/2025 6:27,10.11,Saysells
5/15/2025 7:27,10.16,Saysells
5/15/2025 8:27,10.23,Saysells
5/15/2025 9:27,10.25,Saysells
5/15/2025 10:27,10.27,Saysells
5/15/2025 11:27,10.29,Saysells
5/15/2025 12:27,10.34,Saysells
5/15/2025 13:27,10.38,Saysells
5/15/2025 14:27,10.4,Saysells
5/15/2025 15:27,10.4,Saysells
5/15/2025 16:27,10.41,Saysells
5/15/2025 17:27,10.43,Saysells
5/15/2025 18:27,10.45,Saysells
5/15/2025 19:27,10.42,Saysells
5/15/2025 20:27,10.35,Saysells
5/15/2025 21:27,10.28,Saysells
5/15/2025 22:27,10.23,Saysells
5/15/2025 23:27,10.21,Saysells
5/16/2025 0:27,10.21,Saysells
5/16/2025 1:27,10.19,Saysells
5/16/2025 2:27,10.16,Saysells
5/16/2025 3:27,10.14,Saysells
5/16/2025 4:27,10.12,Saysells
5/16/2025 5:27,10.09,Saysells
5/16/2025 6:27,10.1,Saysells
5/16/2025 7:27,10.14,Saysells
5/16/2025 8:27,10.19,Saysells
5/16/2025 9:27,10.24,Saysells
