,Cowichan River Skutz Falls,Cowichan River Skutz Falls,Cowichan River Skutz Falls
,X2-I-QK-01422,X2-I-QK-01422,X2-I-QK-01422
Parameter / Timestamp,Temperature (C),pH,ODO (mg/L)
6/18/2025 16:00,19.46,7.65,9.44
6/18/2025 17:00,19.35,7.64,9.4
6/18/2025 18:00,19.13,7.63,9.35
6/18/2025 19:00,18.8,7.59,9.31
6/18/2025 20:00,18.39,7.55,9.26
6/18/2025 21:00,18,7.48,9.15
6/18/2025 22:00,17.68,7.44,9.09
6/18/2025 23:00,17.35,7.39,8.98
6/19/2025 0:00,17.05,7.38,9.1
6/19/2025 1:00,16.77,7.38,9.13
6/19/2025 2:00,16.53,7.34,9.11
6/19/2025 3:00,16.32,7.34,9.19
6/19/2025 4:00,16.14,7.36,9.24
6/19/2025 5:00,15.99,7.34,9.27
6/19/2025 6:00,15.88,7.36,9.31
6/19/2025 7:00,15.81,7.39,9.45
6/19/2025 8:00,15.89,7.44,9.65
6/19/2025 9:00,16.28,7.51,9.82
6/19/2025 10:00,16.77,7.52,9.82
6/19/2025 11:00,17.39,7.59,9.85
6/19/2025 12:00,17.85,7.62,9.78
6/19/2025 13:00,18.11,7.64,9.73
6/19/2025 14:00,18.36,7.67,9.69
6/19/2025 15:00,18.63,7.68,9.61
6/19/2025 16:00,18.75,7.66,9.47
6/19/2025 17:00,18.72,7.62,9.39
6/19/2025 18:00,18.79,7.61,9.35
6/19/2025 19:00,18.96,7.62,9.31
6/19/2025 20:00,18.94,7.56,9.09
6/19/2025 21:00,18.64,7.5,8.99
6/19/2025 22:00,18.25,7.46,8.95
6/19/2025 23:00,17.97,7.41,8.9
6/20/2025 0:00,17.71,7.4,8.9
6/20/2025 1:00,17.4,7.38,8.96
6/20/2025 2:00,17.1,7.38,9
6/20/2025 3:00,16.86,7.38,9.04
6/20/2025 4:00,16.65,7.36,9.06
6/20/2025 5:00,16.51,7.36,9.12
6/20/2025 6:00,16.41,7.37,9.17
6/20/2025 7:00,16.36,7.39,9.28
6/20/2025 8:00,16.38,7.45,9.48
6/20/2025 9:00,16.56,7.51,9.65
6/20/2025 10:00,16.93,7.58,9.8
